Unnamed: 0,name,address,lat,lon
183,,1920 Pinehurst Rd FL 34698,28.03668,-82.7728
184,,1251 San Christopher Dr FL 34698,28.02277,-82.77385
185,,2210 Cathedral Dr FL 34683,28.0533,-82.7459
186,,455 Scotland St FL 34698,28.00954,-82.78611
187,,705 Michigan Blvd FL 34698,28.03668,-82.78084
188,,2330 Nebraska Ave FL 34683,28.07777,-82.7427
189,,1190 Georgia Ave FL 34683,28.07679,-82.7652
190,,1551 Belcher Rd FL 34683,28.08197,-82.74854
191,,1500 16th St FL 34683,28.08167,-82.75663
192,,517 Crystal Beach Ave FL 34681,28.09092,-82.77942
193,,1700 Klosterman Rd FL 34683,28.12235,-82.75691
194,,309 Westwinds Dr FL 34683,28.12183,-82.7736
195,,4670 East Bay Dr FL 33764,27.91697,-82.73878
196,,18675 US Highway 19 N FL 33764,27.94233,-82.7293
197,,3500 Cove Cay Dr FL 33760,27.93386,-82.72518
198,,2900 Drew St FL 33759,27.9707,-82.71848
199,,101 2nd St N FL 34695,27.99177,-82.68838
200,,923 N McMullen Booth Rd FL 33759,27.97367,-82.70829
201,,2817 Sunset Point Rd FL 33759,27.99028,-82.72026
202,,2680 Landmark Dr FL 33761,28.01882,-82.71745
203,,2180 N McMullen Booth Rd FL 33759,28.00076,-82.70806
204,,2405 Philippe Pkwy FL 34695,28.01118,-82.68507
205,,2525 N McMullen Booth Rd FL 33761,28.01507,-82.70807
206,,2741 State Road 580 FL 33761,28.01885,-82.72374
207,,2640 Sabel Springs Dr FL 33761,28.02316,-82.72856
208,,2875 State Road 580 FL 33761,28.01882,-82.71821
209,,100 Briar Creek Blvd FL 34695,28.03691,-82.7037
210,,400 St Petersburg Dr E FL 34677,28.03352,-82.66035
211,,225 Pine Ave N FL 34677,28.04405,-82.67058
212,,151 B Gulle Aire Blvd FL 34677,28.04757,-82.70042
213,,3166 N McMullen Booth Rd FL 33761,28.03561,-82.70985
214,,2801 Curlew Rd FL 33761,28.04777,-82.72089
215,,1055 East Lake Woodlands Pkwy FL 34677,28.06109,-82.69497
216,,45 Katherine Blvd FL 34684,28.06336,-82.71136
217,,900 West Lake Rd FL 34684,28.07513,-82.73582
218,,3300 MacGregor Dr FL 34684,28.08133,-82.72408
219,,2757 Alderman Rd FL 34684,28.09432,-82.73438
220,,38724 US Highway 19 N FL 34689,28.12418,-82.74108
221,,1555 Windmill Pointe Rd FL 34685,28.10005,-82.69509
222,,2801 East Lake Rd FL 34685,28.09316,-82.69542
223,,4125 East Lake Rd FL 34685,28.11112,-82.69369
224,,409 Whitcomb Blvd FL 34689,28.14175,-82.76793
225,,61000 Polly Dr FL 34689,28.14065,-82.74382
226,,400 S Walton Ave FL 34689,28.14269,-82.74716
227,,36 N Pinellas Ave FL 34689,28.14688,-82.75635
228,,1021 Gulf Rd FL 34689,28.14445,-82.77183
229,,100 Beekman Ln FL 34689,28.14617,-82.76066
230,,475 East Lake Rd N FL 34688,28.15533,-82.69509
231,,812 E Tarpon Ave FL 34689,28.14577,-82.74376
